,num_topics,scenario_r2,2,3,4,5,6,7,8
379,7,0.00750278765747725,107,127,177,194,174,148,183
380,7,0.018323077519801,158,121,194,119,006,080,124
381,7,0.04251823454951875,094,195,017,074,025,105,194
382,7,0.015665520760661966,130,170,062,161,196,103,003
383,7,0.02241644312713431,143,195,068,077,148,103,056
384,7,0.03632361407248408,185,067,054,025,105,053,196
385,7,0.018904071903299124,040,045,187,013,170,166,070
386,7,0.027993007736825448,019,106,119,120,004,063,130
387,7,0.025971640663523754,054,066,023,127,019,069,003
388,7,0.03079031304700164,055,029,022,138,132,045,137
389,7,0.020323976823117818,023,013,105,130,158,081,098
390,7,0.0116553659941111,176,069,000,143,080,171,188
391,7,0.0230411673370835,187,029,059,102,105,131,110
392,7,0.027119269884125385,046,192,096,037,098,043,105
393,7,0.018349747646448478,091,172,184,094,176,161,068
394,7,0.028372799606440013,150,049,062,069,058,156,108
395,7,0.02797510427592953,051,014,165,004,052,024,001
396,7,0.03279744480116997,150,109,191,058,114,188,166
397,7,0.010971984607277774,099,084,174,144,088,121,185
398,7,0.023849618532450156,026,074,042,194,196,136,199
399,7,0.014778038769566293,169,061,018,181,046,072,049
400,7,0.02140678722886813,004,189,008,045,184,142,151
401,7,0.011758630505386392,055,147,011,148,174,140,184
402,7,0.031071361550787047,004,003,022,045,119,012,143
403,7,0.03442252008921143,146,026,175,132,107,034,012
404,7,0.0077647961342935945,171,191,122,014,118,067,065
405,7,0.05006391388748488,106,040,034,164,123,129,160
406,7,0.023325789633932503,041,032,092,170,114,034,007
407,7,0.02001902992816129,108,134,171,046,076,056,160
408,7,0.017106386853430133,008,184,171,158,090,054,035
409,7,0.054689079173318556,102,091,157,054,175,081,058
410,7,0.028714060051107437,166,001,085,060,094,078,045
411,7,0.04260179044880119,048,033,127,078,044,150,041
412,7,0.028914755397223546,134,039,075,007,019,165,146
413,7,0.02254407187484908,114,156,047,117,166,018,129
414,7,0.01261133361267841,170,069,072,096,047,192,023
415,7,0.03183649900745911,146,122,034,140,023,055,084
416,7,0.03105410797678021,156,054,177,159,011,066,136
417,7,0.017202239050489898,021,088,178,050,013,193,103
418,7,0.01889533374188246,142,107,148,070,134,063,004
419,7,0.04484941333730741,114,048,045,121,043,065,157
420,7,0.018974165419081035,052,059,079,065,038,161,117
421,7,0.03185391637065904,138,142,146,097,074,096,083
422,7,0.02554298767018648,034,068,018,005,098,039,191
423,7,0.037225359957412385,150,052,148,067,106,101,094
424,7,0.0280792027986696,070,085,087,105,118,080,091
425,7,0.0164164918779659,006,167,199,107,178,062,125
426,7,0.02828453481914084,118,177,081,115,059,048,191
427,7,0.015858673934514456,042,069,008,041,037,192,070
428,7,0.02384310033109005,105,150,041,113,031,038,151
429,7,0.02033252935748342,050,096,160,075,089,088,035
430,7,0.013725504036423253,005,042,065,083,192,082,048
431,7,0.026436345051099486,078,146,183,087,048,138,011
432,7,0.024972736136771645,075,044,106,160,172,174,014
433,7,0.00893522488085241,185,140,153,052,121,116,175
434,7,0.016941576891980947,035,045,056,181,040,039,041
435,7,0.03746115898777247,144,127,105,146,064,182,062
436,7,0.024424861002347087,066,158,088,104,027,035,178
437,7,0.017134517375745784,161,082,159,109,116,097,072
438,7,0.020457580745253168,078,153,048,072,166,191,132
439,7,0.023389391086818923,138,151,037,130,062,012,097
440,7,0.009058611241892223,198,159,140,071,060,185,113
441,7,0.030920929263247965,153,123,160,000,176,048,064
442,7,0.023440852156083047,140,118,147,039,088,146,099
443,7,0.04043102493580775,022,084,029,146,107,167,198
444,7,0.011544439777672277,193,170,037,038,023,165,190
445,7,0.020765685279303447,026,053,144,147,084,050,129
446,7,0.03189251516595937,150,118,003,151,017,181,026
447,7,0.015385376094182668,037,098,036,172,087,175,045
448,7,0.02898799960766396,084,003,025,029,125,018,133
449,7,0.018129278255797687,045,131,172,104,064,043,056
450,7,0.030391129118368054,006,130,074,079,023,106,073
451,7,0.02854400298147375,013,166,193,091,142,190,090
452,7,0.03247931003111548,000,107,120,117,115,152,166
453,7,0.049621052009758415,033,119,066,052,024,191,167
454,7,0.025134423867418598,087,078,184,085,127,022,098
455,7,0.023502967947562126,122,150,102,059,089,032,116
456,7,0.012313570408416852,054,084,165,014,199,118,138
457,7,0.034456954823484764,156,019,161,021,055,076,164
458,7,0.041345017179156396,005,129,123,199,004,041,017
459,7,0.010138733559320046,048,041,121,190,142,036,032
460,7,0.024285377557168197,194,022,096,188,027,149,109
461,7,0.04258990675511343,038,007,155,050,018,004,094
462,7,0.004856826515104218,039,152,138,013,003,063,118
463,7,0.04035519237562524,003,122,091,144,167,173,096
464,7,0.07146418024050594,187,127,155,026,185,189,004
465,7,0.030956407049602563,124,090,118,116,189,101,032
466,7,0.03445543946520313,053,138,150,132,118,031,136
467,7,0.017665729118580664,022,190,065,059,007,198,018
468,7,0.028299289186965337,032,012,029,060,053,008,045
469,7,0.010690491748673203,171,152,026,023,011,142,169
470,7,0.028735030969153863,146,006,058,026,105,183,081
471,7,0.03671480734574628,024,129,181,041,071,151,193
472,7,0.028323715681376593,034,151,013,198,039,097,172
