,topic_01,topic_02,topic_03,scenario_r2
585,016,035,043,0.014975260778252508
586,078,151,166,0.0021294070318305103
587,129,088,167,0.023250284193159554
588,185,124,041,0.007024025346701213
589,168,006,061,0.006087151302943794
590,049,076,122,0.005837941419457149
591,171,084,106,0.005803595093506031
592,043,064,061,0.013858323440662845
593,130,063,129,0.03149710919492443
594,006,199,190,0.01084780302225119
595,130,049,034,0.015656904370301095
596,144,109,155,0.03532711393746113
597,055,069,062,0.030880291457989317
598,059,048,167,0.009893418414898325
599,155,103,134,0.034204930985275994
600,025,159,024,0.0017391226561598305
601,132,015,094,0.016816991700158157
602,089,042,140,0.0025543100923732798
603,003,127,166,0.043078735396526846
604,191,183,108,0.00423812930911438
605,032,176,079,0.0019175683730145998
606,062,136,153,0.019870574073117875
607,163,174,015,0.035953087389350435
608,003,008,005,0.030973648741745352
609,069,091,166,0.004688468646521615
610,164,006,143,0.012897877325035667
611,044,152,109,0.016299611554688065
612,122,058,022,0.001846238347120388
613,060,073,059,0.012217007733395069
614,108,031,023,0.008739448691359453
615,066,015,077,0.010512788478258095
616,079,076,187,0.0036756795801893283
617,060,144,039,0.019756276956511942
618,183,016,130,0.013585430090067852
619,134,106,084,0.007045327955988223
620,070,174,062,0.03812735977447779
621,040,026,006,0.014880559077848576
622,198,196,129,0.0021250000072779995
623,012,075,067,0.01095126586889028
624,022,087,039,0.014762142251248722
625,082,016,106,0.01826050735164253
626,156,034,121,0.028263067683364396
627,109,147,131,0.02221694968365151
628,092,182,097,0.011939930222364725
629,053,161,021,0.0021317008904740975
630,166,113,091,0.011930713184565955
631,104,012,007,0.002856817770654385
632,034,077,173,0.015216521396792526
633,142,038,155,0.030915323823084262
634,041,066,136,0.01291447325945061
635,153,103,060,0.009044848322460441
636,169,190,173,0.024603111026332836
637,122,077,057,0.010860335366766005
638,182,196,101,0.015969137720856508
639,031,140,160,0.004532370472760117
640,156,144,176,0.018788278012559556
641,191,147,046,0.04348265708014931
642,196,125,151,0.0004855911518362177
643,038,047,025,0.002754354357570432
644,054,131,167,0.028036855263271154
645,063,176,052,0.026532481433003352
646,176,069,189,0.012343857849608564
647,130,170,149,0.03147271092679327
648,183,072,043,0.010259755294859119
649,022,084,156,0.014406494769882983
650,033,192,114,0.008278929739822805
651,161,040,129,0.0018140678292132284
652,044,057,021,0.02041580589462577
653,130,117,059,0.012837722472618274
654,118,042,027,0.0010161278448485023
655,161,199,144,0.003107353032396065
656,133,137,072,0.01741344764851671
657,000,077,069,0.005439642536615219
658,120,063,015,0.028081998493910132
659,167,012,025,0.0038547737156968687
660,080,175,027,0.02060261627530391
661,098,144,077,0.013250842684985664
662,085,081,031,0.0040985925017453795
663,067,115,110,0.002502945773346643
664,134,066,031,0.004141652951381247
665,184,110,118,0.004386265277194212
666,079,159,106,0.005587200971390094
667,193,129,061,0.002596909954893256
668,090,057,132,0.01021616552511817
669,156,140,178,0.013984707347871939
670,050,147,097,0.03666124114970071
671,011,088,022,0.02396996574074528
672,001,039,038,0.03650003430950255
673,064,137,061,0.013213052368134415
674,147,023,184,0.028291593736317622
675,185,060,068,0.010696981430722285
676,022,115,161,-0.00021721301561483664
677,147,019,048,0.02202487788406604
678,174,037,098,0.031621790528434945
679,185,043,080,0.028566038571052776
680,136,195,007,0.01722741883660195
681,177,057,024,0.026546431562161965
