,num_topics,scenario_r2,2,3,4,5
429,4,0.028612528895532563,117,114,174,129
430,4,0.016406042618788086,132,181,166,117
431,4,0.014819863229920238,185,107,109,092
432,4,0.005864137200602415,077,073,061,160
433,4,0.016425164478425458,098,048,121,152
434,4,0.031105990073820533,155,167,172,052
435,4,0.02827488197000072,102,005,170,118
436,4,0.0014160365324484836,196,049,053,078
437,4,0.013840197346271066,198,124,188,044
438,4,0.008647558478400375,161,070,014,056
439,4,0.001843962140055222,067,058,115,049
440,4,0.010212722052442613,109,166,060,150
441,4,0.02213468478137015,016,072,157,026
442,4,0.037209225828696235,037,106,004,001
443,4,0.02709799860078721,001,033,153,069
444,4,0.01159950623125372,196,084,141,039
445,4,0.013093203329016423,114,091,090,137
446,4,0.010261225344763591,071,191,060,027
447,4,0.025374392562738435,003,137,033,157
448,4,0.007558810194101873,099,075,070,103
449,4,0.02409815865163989,119,149,193,158
450,4,0.040733630742141314,005,062,177,058
451,4,0.03493423621250069,189,103,083,054
452,4,0.008677670494327328,084,015,151,176
453,4,0.04580051996917889,055,127,036,061
454,4,0.023123684449080084,073,004,190,110
455,4,0.05257381794526994,121,127,171,026
456,4,0.023296564784624496,141,089,182,080
457,4,0.03599078101038622,155,171,168,022
458,4,0.017581071753334565,137,133,042,067
459,4,0.010410585098819314,130,142,024,073
460,4,0.010978859791639262,027,057,182,083
461,4,0.02167662239078405,161,147,000,040
462,4,0.03429932169063021,129,144,023,054
463,4,0.046601866325134966,039,060,005,094
464,4,0.012954116500572654,102,085,069,023
465,4,0.008526130886669758,022,199,023,108
466,4,0.02300730090150105,158,059,170,166
467,4,0.014584395282641771,082,015,090,078
468,4,0.030460030872482724,174,021,140,167
469,4,0.021579373499448606,165,057,148,003
470,4,0.011056214566197986,098,105,140,159
471,4,0.019011218713033462,012,084,107,050
472,4,0.012001074408357626,192,064,170,199
473,4,0.017788393985922024,045,062,132,017
474,4,0.013059505557746265,096,191,025,075
475,4,0.020329796333296457,011,015,177,014
476,4,0.0348341206371654,029,013,066,039
477,4,0.021087072424851416,074,023,136,176
478,4,0.03563563968361294,102,087,155,013
479,4,0.0036428911005651488,040,142,109,079
480,4,0.028841366662376466,113,062,025,031
481,4,0.007667632777148881,142,167,119,107
482,4,0.0253791869374278,034,184,050,045
483,4,0.021062531190574774,048,194,075,195
484,4,0.020216601827122704,039,151,057,066
485,4,0.013011178387334565,061,047,142,170
486,4,0.002551447827231157,188,032,115,025
487,4,0.016546947907089993,087,045,043,187
488,4,0.021863344466730217,085,170,057,096
489,4,0.014737410529690242,153,116,085,094
490,4,0.005087910674964613,084,048,067,019
491,4,0.017403649353673778,157,167,026,183
492,4,0.027326383416817368,101,166,082,057
493,4,0.015683302338650673,159,151,056,059
494,4,0.043072413428082434,088,023,001,144
495,4,0.017863047376329044,055,043,182,089
496,4,0.007496460812772332,109,153,116,118
497,4,0.018804915319063586,019,181,109,144
498,4,0.014698540236597668,048,065,184,137
499,4,0.026799290241565688,098,094,062,048
500,4,0.02703272305222515,136,059,183,062
501,4,0.009557181471162135,079,087,178,017
502,4,0.029110295614235393,184,189,080,196
503,4,0.030246356997359003,054,116,047,133
504,4,0.033464861982258065,084,046,142,016
505,4,0.007157408244793828,051,116,141,087
506,4,0.005066519228253186,067,141,116,011
507,4,0.019051066550536677,181,159,059,083
508,4,0.03197515719435229,029,152,042,043
