,num_topics,scenario_r2,2,3,4,5,6,7
388,6,0.026690589406743515,039,129,124,092,143,077
389,6,0.027583688336329515,150,165,125,031,160,034
390,6,0.0332947546915523,181,027,108,137,150,064
391,6,0.013187928205863897,067,088,089,042,175,027
392,6,0.06469319047069466,188,032,120,155,108,003
393,6,0.03416296945768571,005,084,072,123,166,052
394,6,0.04358849260118447,085,166,127,046,114,157
395,6,0.009031749830758828,047,069,049,102,125,168
396,6,0.0414999708160837,178,090,043,099,120,025
397,6,0.044200358195844,101,025,199,040,066,063
398,6,0.02481450908833871,151,041,024,138,124,013
399,6,0.021057253145375765,069,053,017,132,142,192
400,6,0.01676141569943923,015,040,192,150,188,149
401,6,0.00965921827040761,187,137,138,176,107,004
402,6,0.034639195391707345,073,051,038,185,163,136
403,6,0.03660447043104609,092,080,087,022,051,101
404,6,0.021568290178025862,160,087,025,071,152,102
405,6,0.02048683914002225,114,091,064,084,172,013
406,6,0.007266901706541762,153,194,012,006,068,004
407,6,0.03619579420497654,081,061,024,071,011,123
408,6,0.01911007885533267,011,007,041,105,024,153
409,6,0.024943214767798483,078,184,195,069,021,042
410,6,0.020660993985345377,056,050,004,070,181,108
411,6,0.016581947689139676,161,183,141,050,048,168
412,6,0.014582273703024229,050,021,016,176,124,006
413,6,0.0280066295239233,068,021,120,137,177,196
414,6,0.007343490627078619,075,125,077,081,090,178
415,6,0.01766511488565381,027,053,061,103,104,183
416,6,0.016951902031605348,160,078,119,000,194,104
417,6,0.009027703604807424,118,046,117,027,148,057
418,6,0.012849678378998752,083,171,036,103,124,032
419,6,0.03670086833347053,088,102,132,025,130,037
420,6,0.022499191227649762,097,035,133,019,158,075
421,6,0.01672102973457157,019,080,124,198,037,076
422,6,0.008268055996563661,005,176,178,041,080,118
423,6,0.03011926812390353,164,099,175,017,117,041
424,6,0.03213380881904426,193,080,153,134,038,044
425,6,0.02794307574674959,120,192,137,134,107,062
426,6,0.008742788063032525,113,178,152,143,080,077
427,6,0.042130608887472665,011,115,024,057,055,070
428,6,0.04238793154038334,060,120,104,073,101,188
429,6,0.03188379507660055,037,031,198,185,115,110
430,6,0.022996530529117765,063,109,024,129,003,000
431,6,0.011022524835102243,189,196,032,072,004,046
432,6,0.01982429811876396,040,075,098,193,007,041
433,6,0.01955306149646474,018,006,042,131,147,195
434,6,0.0238429144338832,048,122,194,056,025,072
435,6,0.04908211369316873,063,170,136,198,173,191
436,6,0.011873696872153783,178,121,067,133,042,183
437,6,0.03030864613908757,016,019,043,143,146,027
438,6,0.025188568504653785,012,181,172,117,102,013
439,6,0.02908561975349855,099,174,163,124,023,195
440,6,0.0504587181495878,173,065,151,071,001,159
441,6,0.026062584078979434,132,198,016,025,168,038
442,6,0.01027593235943114,067,046,061,013,175,130
443,6,0.025587262841542113,153,060,165,183,098,044
444,6,0.04275176695133631,191,116,014,173,125,078
445,6,0.007127042345631884,194,118,172,061,039,031
446,6,0.007744391859143329,084,080,108,171,114,144
447,6,0.03415986473282484,192,124,021,115,085,159
448,6,0.02675980386830268,193,011,159,070,163,129
449,6,0.017061799358961904,088,000,175,125,069,079
450,6,0.027012004994557248,127,123,122,005,152,043
451,6,0.013268522773347113,105,012,061,131,004,196
452,6,0.02521073878246527,181,005,003,011,001,153
453,6,0.05504546915556385,096,042,155,012,164,122
454,6,0.018931684327468168,076,074,057,183,085,050
455,6,0.012895105495961734,124,003,042,036,105,090
456,6,0.013003768660137527,039,192,182,098,071,046
457,6,0.010858774003462801,036,117,074,052,004,149
458,6,0.03624967128473233,011,069,166,143,044,083
459,6,0.02799882323208769,194,151,051,032,035,022
460,6,0.03541139277610117,006,089,033,078,188,066
